order_number,method,status,amount,provider_reference,paid_at
ORD000091,wire,captured,2925.05,PR-ORD000091,2025-07-03T15:46:59+00:00
ORD000092,cash,captured,429.36,PR-ORD000092,2026-02-22T16:53:51+00:00
ORD000095,bank_transfer,captured,9402.05,PR-ORD000095,2026-01-21T10:53:18+00:00
ORD000096,wallet,captured,5029.69,PR-ORD000096,2025-09-20T09:22:43+00:00
ORD000098,bank_transfer,captured,10618.07,PR-ORD000098,2026-03-28T10:31:23+00:00
ORD000099,cash,captured,4799.07,PR-ORD000099,2025-01-25T05:31:32+00:00
ORD000100,cash,captured,2930.67,PR-ORD000100,2025-11-27T07:27:40+00:00
ORD000101,wire,captured,4949.31,PR-ORD000101,2025-09-08T01:00:32+00:00
ORD000102,wallet,authorized,22526.62,PR-ORD000102,2026-08-23T14:04:01+00:00
ORD000103,cash,captured,9002.38,PR-ORD000103,2026-03-04T15:22:45+00:00
ORD000105,bank_transfer,captured,2708.16,PR-ORD000105,2025-02-08T21:52:13+00:00
ORD000106,card,authorized,4848.79,PR-ORD000106,2025-03-27T14:56:44+00:00
ORD000107,card,captured,2771.42,PR-ORD000107,2025-03-30T13:44:52+00:00
ORD000109,bank_transfer,captured,6363.93,PR-ORD000109,2026-05-25T09:02:51+00:00
ORD000110,wallet,captured,1083.64,PR-ORD000110,2026-07-31T05:21:41+00:00
ORD000111,wallet,failed,11222.09,PR-ORD000111,2025-05-20T22:28:33+00:00
ORD000112,card,captured,1414.14,PR-ORD000112,2026-07-09T22:29:50+00:00
ORD000113,card,captured,467.95,PR-ORD000113,2025-02-11T20:14:13+00:00
ORD000114,card,refunded,4741.18,PR-ORD000114,2026-07-19T06:00:13+00:00
ORD000115,card,captured,127.83,PR-ORD000115,2025-05-05T06:39:21+00:00
ORD000116,card,pending,6296.41,PR-ORD000116,
ORD000117,card,refunded,9970.46,PR-ORD000117,2026-08-03T00:39:57+00:00
ORD000119,cash,captured,10465.72,PR-ORD000119,2025-12-11T19:46:01+00:00
ORD000120,cash,captured,1185.79,PR-ORD000120,2025-08-26T22:32:11+00:00
ORD000121,cash,captured,13020.49,PR-ORD000121,2026-04-30T22:02:43+00:00
ORD000122,cash,captured,16182.54,PR-ORD000122,2026-01-22T03:27:12+00:00
ORD000123,wallet,authorized,6205.56,PR-ORD000123,2026-06-11T16:22:09+00:00
ORD000125,bank_transfer,authorized,4619.88,PR-ORD000125,2026-04-30T16:29:31+00:00
ORD000126,card,failed,6112.69,PR-ORD000126,2025-02-09T23:48:53+00:00
ORD000127,bank_transfer,captured,4898.63,PR-ORD000127,2026-07-13T08:50:02+00:00
ORD000128,cash,pending,3223.28,PR-ORD000128,
ORD000129,card,refunded,2577.29,PR-ORD000129,2026-08-28T04:20:09+00:00
ORD000132,wallet,failed,1529.89,PR-ORD000132,2025-12-31T09:44:18+00:00
ORD000134,bank_transfer,authorized,2176.93,PR-ORD000134,2025-04-11T03:29:00+00:00
ORD000135,cash,authorized,5485.43,PR-ORD000135,2026-01-19T13:13:08+00:00
ORD000137,wire,captured,1025.88,PR-ORD000137,2025-12-01T01:11:33+00:00
ORD000138,cash,failed,988.23,PR-ORD000138,2025-11-27T20:56:17+00:00
ORD000140,card,failed,6762.11,PR-ORD000140,2025-12-15T13:10:45+00:00
ORD000141,bank_transfer,captured,1031.94,PR-ORD000141,2026-08-11T13:14:35+00:00
ORD000142,wallet,failed,5802.31,PR-ORD000142,2025-06-06T00:56:07+00:00
ORD000143,wallet,captured,5954.18,PR-ORD000143,2025-06-26T18:52:44+00:00
ORD000145,card,pending,2056.50,PR-ORD000145,
ORD000146,wallet,captured,3784.27,PR-ORD000146,2025-08-17T00:47:59+00:00
ORD000148,wallet,captured,9167.58,PR-ORD000148,2026-01-07T17:15:51+00:00
ORD000149,cash,captured,11106.71,PR-ORD000149,2025-02-20T12:27:19+00:00
ORD000151,cash,failed,2298.57,PR-ORD000151,2026-01-02T10:55:09+00:00
ORD000152,card,captured,5075.34,PR-ORD000152,2025-12-28T09:11:04+00:00
ORD000154,cash,authorized,4919.80,PR-ORD000154,2026-08-27T20:33:58+00:00
ORD000156,cash,captured,7922.56,PR-ORD000156,2025-01-13T02:09:59+00:00
ORD000158,wallet,captured,6045.72,PR-ORD000158,2025-04-09T05:56:27+00:00
ORD000159,cash,captured,4998.71,PR-ORD000159,2025-07-27T18:39:47+00:00
ORD000162,card,authorized,6806.17,PR-ORD000162,2025-10-06T05:34:28+00:00
ORD000163,card,captured,9169.42,PR-ORD000163,2025-07-20T04:47:53+00:00
ORD000164,cash,captured,10210.42,PR-ORD000164,2025-11-06T02:22:23+00:00
ORD000165,bank_transfer,captured,7102.04,PR-ORD000165,2026-08-10T05:49:00+00:00
ORD000166,wallet,authorized,4475.73,PR-ORD000166,2025-07-24T08:35:48+00:00
ORD000167,wire,captured,6157.00,PR-ORD000167,2025-03-28T16:53:51+00:00
ORD000168,card,authorized,10759.64,PR-ORD000168,2025-06-08T15:42:24+00:00
ORD000169,wire,captured,4489.94,PR-ORD000169,2026-06-25T22:32:31+00:00
ORD000170,bank_transfer,authorized,2978.94,PR-ORD000170,2025-06-24T13:14:45+00:00
ORD000171,card,authorized,10920.67,PR-ORD000171,2025-12-22T13:00:13+00:00
ORD000172,wire,failed,11164.45,PR-ORD000172,2025-03-05T22:56:07+00:00
ORD000173,bank_transfer,authorized,453.70,PR-ORD000173,2025-04-05T20:28:42+00:00
ORD000174,bank_transfer,captured,7851.18,PR-ORD000174,2026-07-23T09:35:23+00:00
ORD000175,bank_transfer,authorized,2179.51,PR-ORD000175,2025-06-12T15:27:02+00:00
ORD000176,card,refunded,5786.95,PR-ORD000176,2025-05-17T04:15:41+00:00
ORD000178,wire,refunded,710.93,PR-ORD000178,2025-02-24T20:11:52+00:00
ORD000179,wallet,captured,1830.67,PR-ORD000179,2026-05-26T15:08:52+00:00
ORD000180,bank_transfer,captured,6315.34,PR-ORD000180,2025-01-21T13:12:37+00:00
ORD000181,wire,authorized,7280.94,PR-ORD000181,2025-05-03T20:45:47+00:00
ORD000182,card,captured,5147.76,PR-ORD000182,2025-06-14T00:43:25+00:00
ORD000183,bank_transfer,authorized,2548.51,PR-ORD000183,2026-02-16T15:56:22+00:00
ORD000184,wallet,captured,6886.13,PR-ORD000184,2026-05-09T17:21:56+00:00
ORD000185,wallet,captured,2657.03,PR-ORD000185,2026-04-13T23:18:27+00:00
ORD000186,cash,failed,3946.67,PR-ORD000186,2025-06-23T19:56:40+00:00
ORD000187,wallet,refunded,3620.98,PR-ORD000187,2025-04-01T05:52:26+00:00
ORD000188,wallet,captured,9451.51,PR-ORD000188,2025-11-08T07:01:41+00:00
ORD000189,wallet,authorized,2664.01,PR-ORD000189,2025-10-29T00:33:38+00:00
ORD000190,cash,authorized,12015.60,PR-ORD000190,2026-07-17T07:57:35+00:00
ORD000191,cash,authorized,13731.90,PR-ORD000191,2025-02-07T00:39:50+00:00
ORD000192,cash,captured,4734.83,PR-ORD000192,2025-07-11T12:05:03+00:00
ORD000195,card,captured,4958.56,PR-ORD000195,2026-01-10T03:18:09+00:00
ORD000196,card,captured,2443.34,PR-ORD000196,2025-08-16T11:24:37+00:00
ORD000198,card,captured,10612.17,PR-ORD000198,2026-05-01T21:46:21+00:00
ORD000201,wire,authorized,3325.84,PR-ORD000201,2026-01-25T19:09:01+00:00
ORD000202,wire,captured,2451.77,PR-ORD000202,2025-04-22T17:49:17+00:00
ORD000204,bank_transfer,captured,2911.84,PR-ORD000204,2025-05-05T00:41:26+00:00
ORD000205,wire,refunded,4882.11,PR-ORD000205,2025-12-28T21:22:29+00:00
ORD000206,card,refunded,14803.31,PR-ORD000206,2026-07-05T12:58:03+00:00
ORD000207,card,captured,1766.04,PR-ORD000207,2025-12-26T12:04:29+00:00
ORD000210,card,captured,2166.39,PR-ORD000210,2025-04-19T06:41:42+00:00
ORD000211,wire,captured,4041.87,PR-ORD000211,2025-08-15T09:44:02+00:00
ORD000212,wire,captured,3479.03,PR-ORD000212,2025-12-08T19:23:34+00:00
ORD000213,bank_transfer,pending,10163.80,PR-ORD000213,
ORD000214,wallet,refunded,2234.85,PR-ORD000214,2026-06-27T21:47:33+00:00
ORD000215,wallet,captured,8356.99,PR-ORD000215,2025-03-02T13:36:11+00:00
ORD000216,wire,captured,3326.83,PR-ORD000216,2026-04-07T22:50:22+00:00
ORD000217,wire,failed,1239.13,PR-ORD000217,2025-01-04T15:48:24+00:00
ORD000218,cash,captured,2638.10,PR-ORD000218,2025-02-01T00:55:14+00:00
ORD000220,bank_transfer,captured,1511.55,PR-ORD000220,2025-12-28T18:22:04+00:00
ORD000222,wallet,captured,4675.62,PR-ORD000222,2026-03-25T10:42:16+00:00
ORD000223,bank_transfer,failed,7777.21,PR-ORD000223,2025-11-16T22:57:30+00:00
ORD000224,wire,captured,912.05,PR-ORD000224,2025-01-14T11:44:46+00:00
ORD000226,wire,refunded,7935.62,PR-ORD000226,2025-10-17T22:16:53+00:00
ORD000227,wire,authorized,6438.54,PR-ORD000227,2025-11-09T00:10:31+00:00
ORD000230,bank_transfer,failed,1958.43,PR-ORD000230,2025-08-01T10:34:14+00:00
ORD000231,wire,captured,6644.92,PR-ORD000231,2025-08-09T21:30:45+00:00
ORD000232,card,refunded,1184.44,PR-ORD000232,2026-05-26T04:57:50+00:00
ORD000234,wallet,captured,8436.53,PR-ORD000234,2026-06-02T00:37:44+00:00
ORD000235,wire,captured,5271.37,PR-ORD000235,2026-05-20T12:30:26+00:00
ORD000236,wallet,captured,5203.11,PR-ORD000236,2026-07-10T21:22:28+00:00
ORD000237,card,failed,7473.23,PR-ORD000237,2026-03-17T05:57:26+00:00
ORD000238,wallet,captured,3756.50,PR-ORD000238,2025-03-20T00:01:31+00:00
ORD000239,wallet,pending,182.85,PR-ORD000239,
ORD000240,wire,captured,8664.65,PR-ORD000240,2026-01-13T04:34:34+00:00
ORD000241,wire,captured,3320.27,PR-ORD000241,2025-12-20T15:15:00+00:00
ORD000242,cash,failed,4583.75,PR-ORD000242,2026-04-20T21:52:01+00:00
ORD000243,cash,failed,8455.68,PR-ORD000243,2025-10-06T03:15:58+00:00
ORD000244,wire,authorized,5148.07,PR-ORD000244,2026-01-24T13:51:52+00:00
ORD000245,cash,captured,5543.61,PR-ORD000245,2026-01-02T06:24:24+00:00
ORD000246,card,authorized,578.18,PR-ORD000246,2025-12-08T18:36:36+00:00
ORD000247,wire,captured,7074.61,PR-ORD000247,2026-03-02T04:37:19+00:00
ORD000248,bank_transfer,captured,4509.96,PR-ORD000248,2025-12-17T06:26:15+00:00
ORD000250,bank_transfer,captured,10571.80,PR-ORD000250,2025-06-24T13:25:11+00:00
ORD000251,wire,captured,2991.83,PR-ORD000251,2026-06-10T16:48:25+00:00
ORD000252,cash,authorized,399.59,PR-ORD000252,2026-08-18T10:43:28+00:00
ORD000253,wire,captured,6404.02,PR-ORD000253,2026-04-19T13:24:38+00:00
ORD000254,cash,refunded,5742.87,PR-ORD000254,2026-07-14T06:27:28+00:00
ORD000255,cash,authorized,3514.09,PR-ORD000255,2025-07-31T23:32:17+00:00
ORD000256,card,authorized,3700.16,PR-ORD000256,2026-07-11T17:53:37+00:00
ORD000257,wallet,captured,4527.59,PR-ORD000257,2025-06-16T12:58:13+00:00
ORD000258,cash,captured,2023.69,PR-ORD000258,2025-07-18T23:40:22+00:00
ORD000259,bank_transfer,captured,4759.96,PR-ORD000259,2026-02-27T07:47:24+00:00
ORD000260,wire,pending,4831.62,PR-ORD000260,
ORD000261,cash,authorized,3687.04,PR-ORD000261,2025-12-19T07:45:52+00:00
ORD000262,wire,captured,9870.19,PR-ORD000262,2025-11-16T03:21:18+00:00
ORD000263,wallet,authorized,17201.47,PR-ORD000263,2025-11-08T04:14:43+00:00
ORD000264,card,captured,7260.43,PR-ORD000264,2026-07-09T16:26:05+00:00
ORD000266,card,pending,8327.66,PR-ORD000266,
ORD000267,cash,captured,10674.82,PR-ORD000267,2026-02-16T18:42:33+00:00
ORD000268,card,pending,515.88,PR-ORD000268,
ORD000269,wire,authorized,1030.53,PR-ORD000269,2025-05-18T12:55:53+00:00
ORD000270,wire,captured,4908.23,PR-ORD000270,2025-10-21T08:35:57+00:00
ORD000271,cash,authorized,2485.56,PR-ORD000271,2025-02-28T08:40:24+00:00
ORD000272,wire,captured,3495.79,PR-ORD000272,2026-04-29T08:25:27+00:00
ORD000273,wallet,captured,2758.95,PR-ORD000273,2026-08-16T17:24:46+00:00
ORD000274,wallet,captured,9037.64,PR-ORD000274,2025-11-25T20:01:45+00:00
ORD000276,wire,captured,4198.61,PR-ORD000276,2025-04-04T04:19:56+00:00
ORD000277,wallet,captured,5135.60,PR-ORD000277,2025-06-23T21:34:56+00:00
ORD000278,cash,captured,6753.67,PR-ORD000278,2026-07-23T17:06:31+00:00
ORD000281,card,authorized,6080.05,PR-ORD000281,2025-12-11T14:48:08+00:00
ORD000283,bank_transfer,captured,7660.50,PR-ORD000283,2025-11-28T13:53:11+00:00
ORD000284,bank_transfer,captured,9636.05,PR-ORD000284,2025-12-11T09:13:49+00:00
ORD000287,card,captured,486.20,PR-ORD000287,2025-07-16T19:08:30+00:00
ORD000288,wire,captured,4318.75,PR-ORD000288,2025-07-10T15:27:01+00:00
ORD000289,bank_transfer,captured,3907.07,PR-ORD000289,2025-10-19T17:39:55+00:00
ORD000290,bank_transfer,failed,18173.16,PR-ORD000290,2025-12-23T02:46:27+00:00
ORD000291,card,captured,3136.39,PR-ORD000291,2025-07-08T15:54:07+00:00
ORD000292,cash,failed,476.30,PR-ORD000292,2026-02-07T07:09:40+00:00
ORD000293,cash,captured,6215.47,PR-ORD000293,2025-05-08T17:48:14+00:00
ORD000294,card,captured,9258.78,PR-ORD000294,2025-06-20T13:56:14+00:00
ORD000295,bank_transfer,captured,14219.38,PR-ORD000295,2026-01-17T00:19:44+00:00
ORD000296,card,captured,8660.43,PR-ORD000296,2025-06-28T06:07:16+00:00
ORD000297,bank_transfer,captured,1694.52,PR-ORD000297,2025-05-30T18:06:56+00:00
ORD000298,bank_transfer,captured,5257.84,PR-ORD000298,2026-02-22T16:58:09+00:00
ORD000299,wallet,captured,1483.00,PR-ORD000299,2026-05-17T19:01:30+00:00
ORD000300,cash,captured,4377.27,PR-ORD000300,2026-06-27T05:35:14+00:00
ORD000301,wire,authorized,7386.90,PR-ORD000301,2025-10-18T12:43:19+00:00
ORD000302,wallet,refunded,9460.83,PR-ORD000302,2025-06-22T02:27:57+00:00
ORD000303,cash,authorized,1705.94,PR-ORD000303,2025-07-03T13:52:18+00:00
ORD000304,bank_transfer,captured,5391.80,PR-ORD000304,2026-07-13T04:47:19+00:00
ORD000307,wallet,authorized,6076.04,PR-ORD000307,2025-09-20T08:14:44+00:00
ORD000308,cash,authorized,7657.69,PR-ORD000308,2025-09-25T12:16:33+00:00
ORD000309,bank_transfer,captured,2100.53,PR-ORD000309,2026-04-19T00:56:01+00:00
ORD000310,wallet,pending,2598.44,PR-ORD000310,
ORD000311,bank_transfer,captured,576.14,PR-ORD000311,2025-06-13T00:09:43+00:00
ORD000312,wallet,authorized,2671.20,PR-ORD000312,2026-01-15T17:46:50+00:00
ORD000313,bank_transfer,captured,9670.80,PR-ORD000313,2025-06-07T07:18:55+00:00
ORD000314,card,refunded,42.78,PR-ORD000314,2025-07-01T05:48:24+00:00
ORD000315,card,captured,4024.25,PR-ORD000315,2025-12-10T08:16:07+00:00
ORD000316,wallet,failed,4671.61,PR-ORD000316,2025-08-16T14:38:55+00:00
ORD000317,bank_transfer,authorized,1672.59,PR-ORD000317,2025-01-08T02:43:31+00:00
ORD000318,wallet,authorized,2947.92,PR-ORD000318,2025-08-03T16:07:38+00:00
ORD000319,cash,pending,14997.27,PR-ORD000319,
ORD000320,wallet,captured,6927.69,PR-ORD000320,2026-03-12T03:04:57+00:00
ORD000321,wire,captured,7745.29,PR-ORD000321,2025-04-06T03:27:11+00:00
ORD000322,wallet,pending,11183.18,PR-ORD000322,
ORD000323,cash,captured,3319.91,PR-ORD000323,2026-07-10T03:20:56+00:00
ORD000324,card,captured,1334.69,PR-ORD000324,2026-03-03T10:45:34+00:00
ORD000325,wire,pending,6743.02,PR-ORD000325,
ORD000326,wire,refunded,5486.93,PR-ORD000326,2025-02-16T05:20:59+00:00
ORD000328,cash,captured,1646.81,PR-ORD000328,2025-07-07T05:55:40+00:00
ORD000329,wire,captured,6590.76,PR-ORD000329,2025-11-16T09:47:34+00:00
ORD000330,wallet,captured,3347.86,PR-ORD000330,2025-12-17T12:51:48+00:00
ORD000331,bank_transfer,captured,9478.02,PR-ORD000331,2025-10-03T14:40:19+00:00
ORD000332,card,captured,9201.18,PR-ORD000332,2026-07-15T21:00:13+00:00
ORD000333,cash,authorized,2414.30,PR-ORD000333,2025-10-17T03:10:00+00:00
ORD000334,cash,captured,2592.62,PR-ORD000334,2026-01-06T17:09:41+00:00
ORD000335,cash,captured,7217.20,PR-ORD000335,2025-01-31T11:24:40+00:00
ORD000336,wallet,pending,10654.18,PR-ORD000336,
ORD000337,cash,refunded,6482.31,PR-ORD000337,2025-09-15T10:18:12+00:00
ORD000338,cash,captured,7907.79,PR-ORD000338,2026-01-13T14:46:58+00:00
ORD000339,cash,captured,7404.60,PR-ORD000339,2025-06-05T05:55:12+00:00
ORD000340,wire,refunded,2480.25,PR-ORD000340,2025-01-11T14:48:44+00:00
ORD000341,card,captured,8526.59,PR-ORD000341,2025-02-17T03:22:56+00:00
ORD000342,wallet,captured,4042.44,PR-ORD000342,2025-05-08T23:10:30+00:00
ORD000343,bank_transfer,captured,5997.42,PR-ORD000343,2026-02-26T08:39:40+00:00
ORD000344,cash,pending,12662.12,PR-ORD000344,
ORD000345,cash,authorized,3257.78,PR-ORD000345,2025-01-08T03:51:39+00:00
ORD000346,bank_transfer,captured,3233.25,PR-ORD000346,2026-02-15T18:22:32+00:00
ORD000347,wallet,captured,326.23,PR-ORD000347,2025-02-23T18:48:34+00:00
ORD000349,wallet,captured,1943.85,PR-ORD000349,2025-05-31T14:38:38+00:00
ORD000350,bank_transfer,captured,4096.79,PR-ORD000350,2026-08-17T20:13:14+00:00
ORD000351,bank_transfer,pending,7258.66,PR-ORD000351,
ORD000353,bank_transfer,captured,1394.76,PR-ORD000353,2025-04-22T09:08:47+00:00
ORD000354,cash,captured,9555.23,PR-ORD000354,2025-05-12T14:30:13+00:00
ORD000355,cash,captured,6133.43,PR-ORD000355,2025-03-15T23:25:08+00:00
ORD000356,bank_transfer,captured,6769.61,PR-ORD000356,2025-03-25T12:36:37+00:00
ORD000357,card,captured,5120.32,PR-ORD000357,2025-01-12T06:00:33+00:00
ORD000358,bank_transfer,captured,5696.78,PR-ORD000358,2025-09-25T19:38:30+00:00
ORD000359,cash,failed,7791.28,PR-ORD000359,2026-06-30T09:01:49+00:00
ORD000360,card,failed,3945.42,PR-ORD000360,2025-09-02T19:05:21+00:00
ORD000361,bank_transfer,failed,14982.37,PR-ORD000361,2025-07-31T06:11:14+00:00
ORD000362,cash,captured,5120.74,PR-ORD000362,2025-04-30T08:51:19+00:00
ORD000364,cash,captured,11676.61,PR-ORD000364,2025-10-10T19:52:36+00:00
ORD000365,wire,captured,14142.63,PR-ORD000365,2025-10-09T00:51:42+00:00
ORD000366,wire,refunded,8259.09,PR-ORD000366,2026-04-10T20:26:52+00:00
ORD000368,wallet,captured,9486.77,PR-ORD000368,2025-06-25T19:59:55+00:00
ORD000369,card,captured,9407.61,PR-ORD000369,2026-01-15T10:38:51+00:00
ORD000370,wallet,authorized,429.54,PR-ORD000370,2025-12-31T21:21:54+00:00
ORD000371,wallet,captured,9498.96,PR-ORD000371,2026-02-21T17:16:55+00:00
ORD000372,cash,captured,4278.70,PR-ORD000372,2026-08-06T20:34:17+00:00
ORD000373,bank_transfer,captured,7455.15,PR-ORD000373,2026-01-25T08:46:24+00:00
ORD000374,cash,captured,7075.93,PR-ORD000374,2025-08-19T19:41:08+00:00
ORD000375,bank_transfer,captured,6156.69,PR-ORD000375,2025-11-19T21:46:35+00:00
ORD000376,card,authorized,10951.95,PR-ORD000376,2026-07-01T12:37:14+00:00
ORD000377,card,captured,7111.43,PR-ORD000377,2025-10-03T22:49:13+00:00
ORD000378,wallet,failed,4249.81,PR-ORD000378,2025-04-30T16:55:11+00:00
ORD000379,wire,refunded,909.76,PR-ORD000379,2025-02-26T03:34:21+00:00
ORD000382,card,captured,3881.24,PR-ORD000382,2025-06-14T14:18:12+00:00
ORD000383,wallet,captured,9435.96,PR-ORD000383,2025-09-19T20:39:02+00:00
ORD000385,wallet,authorized,2329.15,PR-ORD000385,2025-06-19T11:34:33+00:00
ORD000386,cash,failed,5525.72,PR-ORD000386,2026-08-03T06:26:06+00:00
ORD000387,wallet,captured,1362.51,PR-ORD000387,2025-12-22T08:30:31+00:00
