order_number,product_sku,quantity,unit_price,line_discount,line_total
ORD000078,SKU000012,1,510.87,0.00,510.87
ORD000078,SKU000150,2,1450.00,43.50,2856.50
ORD000079,SKU000194,1,757.78,0.00,757.78
ORD000079,SKU000234,1,1026.73,0.00,1026.73
ORD000079,SKU000034,3,1160.13,0.00,3480.39
ORD000079,SKU000005,1,1493.85,74.69,1419.16
ORD000079,SKU000140,3,100.33,0.00,300.99
ORD000080,SKU000025,3,907.82,0.00,2723.46
ORD000081,SKU000103,3,390.61,0.00,1171.83
ORD000082,SKU000174,3,193.35,15.47,564.58
ORD000082,SKU000096,1,1036.81,51.84,984.97
ORD000082,SKU000047,1,1452.61,72.63,1379.98
ORD000082,SKU000204,4,891.76,26.75,3540.29
ORD000083,SKU000029,3,842.45,25.27,2502.08
ORD000084,SKU000232,1,864.16,43.21,820.95
ORD000084,SKU000089,4,872.47,43.62,3446.26
ORD000084,SKU000034,4,1160.13,0.00,4640.52
ORD000084,SKU000033,3,533.46,0.00,1600.38
ORD000084,SKU000147,1,430.30,21.52,408.78
ORD000085,SKU000164,1,222.51,0.00,222.51
ORD000086,SKU000215,2,560.50,0.00,1121.00
ORD000086,SKU000048,1,1423.30,113.86,1309.44
ORD000086,SKU000023,2,1161.90,0.00,2323.80
ORD000087,SKU000202,4,103.62,8.29,406.19
ORD000087,SKU000011,3,359.63,28.77,1050.12
ORD000087,SKU000025,4,907.82,0.00,3631.28
ORD000088,SKU000046,4,792.34,39.62,3129.74
ORD000088,SKU000180,4,152.83,7.64,603.68
ORD000088,SKU000234,2,1026.73,30.80,2022.66
ORD000088,SKU000059,1,1823.70,91.18,1732.52
ORD000088,SKU000188,1,121.81,0.00,121.81
ORD000089,SKU000133,4,1376.23,110.10,5394.82
ORD000089,SKU000229,1,442.53,0.00,442.53
ORD000090,SKU000209,1,469.21,14.08,455.13
ORD000090,SKU000192,2,804.31,40.22,1568.40
ORD000090,SKU000078,3,1553.99,0.00,4661.97
ORD000091,SKU000007,4,614.56,0.00,2458.24
ORD000091,SKU000235,1,407.80,20.39,387.41
ORD000092,SKU000065,1,454.03,36.32,417.71
ORD000093,SKU000024,2,744.49,59.56,1429.42
ORD000093,SKU000195,3,13.48,0.00,40.44
ORD000093,SKU000200,3,349.91,17.50,1032.23
ORD000093,SKU000065,4,454.03,22.70,1793.42
ORD000093,SKU000121,4,1218.18,97.45,4775.27
ORD000094,SKU000089,1,872.47,43.62,828.85
ORD000094,SKU000182,1,687.88,0.00,687.88
ORD000095,SKU000202,3,103.62,5.18,305.68
ORD000095,SKU000030,1,1263.29,37.90,1225.39
ORD000095,SKU000027,2,388.75,0.00,777.50
ORD000095,SKU000085,3,1323.96,0.00,3971.88
ORD000095,SKU000136,4,716.60,0.00,2866.40
ORD000096,SKU000152,2,866.00,0.00,1732.00
ORD000096,SKU000056,1,755.43,0.00,755.43
ORD000096,SKU000014,2,1252.99,100.24,2405.74
ORD000097,SKU000128,1,1194.18,0.00,1194.18
ORD000097,SKU000161,2,229.33,0.00,458.66
ORD000097,SKU000062,3,857.25,0.00,2571.75
ORD000097,SKU000117,1,1116.73,55.84,1060.89
ORD000097,SKU000154,1,453.74,22.69,431.05
ORD000098,SKU000146,4,1880.37,150.43,7371.05
ORD000098,SKU000027,1,388.75,11.66,377.09
ORD000098,SKU000085,2,1323.96,66.20,2581.72
ORD000099,SKU000028,1,1324.73,0.00,1324.73
ORD000099,SKU000131,2,1147.19,0.00,2294.38
ORD000099,SKU000011,2,359.63,0.00,719.26
ORD000099,SKU000230,1,340.66,10.22,330.44
ORD000100,SKU000166,4,718.17,21.55,2851.13
ORD000101,SKU000129,1,312.97,25.04,287.93
ORD000101,SKU000229,3,442.53,22.13,1305.46
ORD000101,SKU000111,2,381.74,30.54,732.94
ORD000101,SKU000178,4,622.16,0.00,2488.64
ORD000102,SKU000107,3,1434.31,114.74,4188.19
ORD000102,SKU000028,4,1324.73,39.74,5259.18
ORD000102,SKU000114,3,1328.98,0.00,3986.94
ORD000102,SKU000035,4,1737.47,139.00,6810.88
ORD000102,SKU000031,2,835.00,0.00,1670.00
ORD000103,SKU000014,3,1252.99,100.24,3658.73
ORD000103,SKU000182,2,687.88,20.64,1355.12
ORD000103,SKU000009,3,101.86,0.00,305.58
ORD000103,SKU000023,1,1161.90,92.95,1068.95
ORD000103,SKU000041,3,803.27,40.16,2369.65
ORD000104,SKU000160,2,945.61,28.37,1862.85
ORD000104,SKU000185,3,789.70,23.69,2345.41
ORD000104,SKU000109,4,1497.93,44.94,5946.78
ORD000105,SKU000208,3,249.16,7.47,740.01
ORD000105,SKU000223,3,648.85,51.91,1894.64
ORD000106,SKU000220,3,202.19,6.07,600.50
ORD000106,SKU000128,2,1194.18,0.00,2388.36
ORD000106,SKU000232,2,864.16,0.00,1728.32
ORD000107,SKU000032,1,515.64,0.00,515.64
ORD000107,SKU000094,4,28.32,2.27,111.01
ORD000107,SKU000145,3,236.50,0.00,709.50
ORD000107,SKU000108,2,690.38,20.71,1360.05
ORD000108,SKU000162,2,428.18,12.85,843.51
ORD000108,SKU000089,3,872.47,0.00,2617.41
ORD000108,SKU000146,3,1880.37,0.00,5641.11
ORD000108,SKU000210,2,166.08,4.98,327.18
ORD000109,SKU000070,3,518.67,15.56,1540.45
ORD000109,SKU000011,3,359.63,17.98,1060.91
ORD000109,SKU000176,4,897.46,0.00,3589.84
ORD000110,SKU000180,2,152.83,4.58,301.08
ORD000110,SKU000055,4,190.67,9.53,753.15
ORD000111,SKU000029,3,842.45,0.00,2527.35
ORD000111,SKU000119,3,1539.31,123.14,4494.79
ORD000111,SKU000169,4,229.44,0.00,917.76
ORD000111,SKU000238,3,1002.56,30.08,2977.60
ORD000112,SKU000182,2,687.88,0.00,1375.76
ORD000113,SKU000037,3,151.75,0.00,455.25
ORD000114,SKU000071,3,776.67,0.00,2330.01
ORD000114,SKU000010,2,142.60,11.41,273.79
ORD000114,SKU000120,2,1019.64,30.59,2008.69
ORD000115,SKU000015,3,42.59,3.41,124.36
ORD000116,SKU000201,4,1344.59,0.00,5378.36
ORD000116,SKU000069,1,786.47,39.32,747.15
ORD000117,SKU000061,2,341.79,0.00,683.58
ORD000117,SKU000023,1,1161.90,0.00,1161.90
ORD000117,SKU000159,3,1627.39,48.82,4833.35
ORD000117,SKU000113,2,1510.50,0.00,3021.00
ORD000118,SKU000199,4,166.64,0.00,666.56
ORD000119,SKU000089,3,872.47,0.00,2617.41
ORD000119,SKU000149,4,1828.38,0.00,7313.52
ORD000119,SKU000218,1,272.52,21.80,250.72
ORD000120,SKU000171,1,1072.17,0.00,1072.17
ORD000120,SKU000067,2,41.76,2.09,81.43
ORD000121,SKU000192,4,804.31,0.00,3217.24
ORD000121,SKU000032,2,515.64,0.00,1031.28
ORD000121,SKU000067,4,41.76,0.00,167.04
ORD000121,SKU000057,4,1657.46,0.00,6629.84
ORD000121,SKU000074,4,410.55,20.53,1621.67
ORD000122,SKU000025,3,907.82,72.63,2650.83
ORD000122,SKU000114,4,1328.98,0.00,5315.92
ORD000122,SKU000093,4,1142.61,0.00,4570.44
ORD000122,SKU000237,3,970.84,29.13,2883.39
ORD000122,SKU000151,1,332.71,9.98,322.73
ORD000123,SKU000220,3,202.19,6.07,600.50
ORD000123,SKU000096,1,1036.81,0.00,1036.81
ORD000123,SKU000056,4,755.43,0.00,3021.72
ORD000123,SKU000109,1,1497.93,119.83,1378.10
ORD000124,SKU000168,3,548.18,0.00,1644.54
ORD000124,SKU000038,1,278.56,8.36,270.20
ORD000124,SKU000194,4,757.78,60.62,2970.50
ORD000125,SKU000115,2,363.12,29.05,697.19
ORD000125,SKU000067,2,41.76,1.25,82.27
ORD000125,SKU000181,4,757.86,0.00,3031.44
ORD000125,SKU000061,2,341.79,0.00,683.58
ORD000126,SKU000193,4,96.54,4.83,381.33
ORD000126,SKU000057,2,1657.46,49.72,3265.20
ORD000126,SKU000211,4,496.71,0.00,1986.84
ORD000126,SKU000130,3,104.47,0.00,313.41
ORD000127,SKU000023,3,1161.90,0.00,3485.70
ORD000127,SKU000138,2,639.98,0.00,1279.96
ORD000128,SKU000223,3,648.85,0.00,1946.55
ORD000128,SKU000002,1,299.04,8.97,290.07
ORD000128,SKU000066,3,302.75,9.08,899.17
ORD000129,SKU000036,2,1272.76,38.18,2507.34
ORD000130,SKU000115,3,363.12,0.00,1089.36
ORD000130,SKU000088,4,1898.00,94.90,7497.10
ORD000130,SKU000150,1,1450.00,72.50,1377.50
ORD000131,SKU000224,1,1434.98,114.80,1320.18
ORD000131,SKU000151,2,332.71,0.00,665.42
ORD000132,SKU000056,1,755.43,0.00,755.43
ORD000132,SKU000111,2,381.74,30.54,732.94
ORD000133,SKU000117,4,1116.73,55.84,4411.08
ORD000133,SKU000056,1,755.43,37.77,717.66
ORD000133,SKU000063,4,549.51,27.48,2170.56
ORD000133,SKU000171,4,1072.17,32.17,4256.51
ORD000134,SKU000033,4,533.46,16.00,2117.84
ORD000135,SKU000201,3,1344.59,107.57,3926.20
ORD000135,SKU000019,3,406.78,32.54,1187.80
ORD000135,SKU000214,2,111.27,0.00,222.54
ORD000136,SKU000005,2,1493.85,0.00,2987.70
ORD000136,SKU000038,2,278.56,0.00,557.12
ORD000136,SKU000063,3,549.51,0.00,1648.53
ORD000136,SKU000191,2,1506.00,0.00,3012.00
ORD000137,SKU000061,3,341.79,27.34,998.03
ORD000138,SKU000092,1,593.82,0.00,593.82
ORD000138,SKU000045,2,188.51,9.43,367.59
ORD000139,SKU000037,3,151.75,7.59,447.66
ORD000139,SKU000074,3,410.55,12.32,1219.33
ORD000140,SKU000001,1,1774.87,53.25,1721.62
ORD000140,SKU000128,1,1194.18,0.00,1194.18
ORD000140,SKU000104,4,934.38,74.75,3662.77
ORD000141,SKU000044,1,1091.23,87.30,1003.93
ORD000142,SKU000037,2,151.75,4.55,298.95
ORD000142,SKU000110,4,819.69,0.00,3278.76
ORD000142,SKU000211,2,496.71,0.00,993.42
ORD000142,SKU000032,1,515.64,25.78,489.86
ORD000142,SKU000007,1,614.56,30.73,583.83
ORD000143,SKU000111,3,381.74,19.09,1126.13
ORD000143,SKU000233,2,151.16,4.53,297.79
ORD000143,SKU000071,2,776.67,38.83,1514.51
ORD000143,SKU000224,1,1434.98,0.00,1434.98
ORD000143,SKU000005,1,1493.85,74.69,1419.16
ORD000144,SKU000205,3,158.69,4.76,471.31
ORD000144,SKU000029,2,842.45,0.00,1684.90
ORD000144,SKU000224,1,1434.98,43.05,1391.93
ORD000144,SKU000125,2,1425.63,114.05,2737.21
ORD000144,SKU000153,1,119.81,0.00,119.81
ORD000145,SKU000126,3,673.63,20.21,2000.68
ORD000146,SKU000095,3,1103.40,33.10,3277.10
ORD000146,SKU000212,1,425.75,21.29,404.46
ORD000147,SKU000019,4,406.78,0.00,1627.12
ORD000148,SKU000153,2,119.81,5.99,233.63
ORD000148,SKU000105,3,978.05,0.00,2934.15
ORD000148,SKU000187,4,1236.11,0.00,4944.44
ORD000148,SKU000145,2,236.50,0.00,473.00
ORD000148,SKU000060,1,351.08,17.55,333.53
ORD000149,SKU000068,2,449.58,0.00,899.16
ORD000149,SKU000201,4,1344.59,40.34,5338.02
ORD000149,SKU000106,4,1156.47,57.82,4568.06
ORD000150,SKU000221,4,789.98,63.20,3096.72
ORD000150,SKU000047,4,1452.61,72.63,5737.81
ORD000150,SKU000147,4,430.30,0.00,1721.20
ORD000150,SKU000198,4,81.28,2.44,322.68
ORD000150,SKU000189,4,539.78,43.18,2115.94
ORD000151,SKU000232,1,864.16,69.13,795.03
ORD000151,SKU000202,2,103.62,3.11,204.13
ORD000151,SKU000201,1,1344.59,107.57,1237.02
ORD000152,SKU000195,4,13.48,0.40,53.52
ORD000152,SKU000239,3,1628.02,0.00,4884.06
ORD000153,SKU000199,2,166.64,13.33,319.95
ORD000153,SKU000158,3,883.64,0.00,2650.92
ORD000153,SKU000004,3,494.05,39.52,1442.63
ORD000154,SKU000039,2,1013.78,0.00,2027.56
ORD000154,SKU000048,1,1423.30,42.70,1380.60
ORD000154,SKU000109,1,1497.93,119.83,1378.10
ORD000155,SKU000055,4,190.67,0.00,762.68
ORD000155,SKU000181,1,757.86,60.63,697.23
ORD000155,SKU000236,2,1433.52,0.00,2867.04
ORD000156,SKU000049,4,892.17,0.00,3568.68
ORD000156,SKU000204,3,891.76,44.59,2630.69
ORD000156,SKU000084,4,111.96,0.00,447.84
ORD000156,SKU000115,3,363.12,29.05,1060.31
ORD000157,SKU000221,1,789.98,0.00,789.98
ORD000157,SKU000117,4,1116.73,89.34,4377.58
ORD000157,SKU000240,2,706.34,0.00,1412.68
ORD000158,SKU000193,3,96.54,0.00,289.62
ORD000158,SKU000082,4,464.98,13.95,1845.97
ORD000158,SKU000107,1,1434.31,0.00,1434.31
ORD000158,SKU000040,2,1173.46,35.20,2311.72
ORD000159,SKU000183,2,43.81,1.31,86.31
ORD000159,SKU000128,4,1194.18,0.00,4776.72
ORD000160,SKU000181,2,757.86,0.00,1515.72
ORD000160,SKU000095,3,1103.40,55.17,3255.03
ORD000160,SKU000123,2,757.15,22.71,1491.59
ORD000160,SKU000038,3,278.56,0.00,835.68
ORD000161,SKU000148,3,1421.58,113.73,4151.01
ORD000161,SKU000088,2,1898.00,0.00,3796.00
ORD000161,SKU000086,1,16.87,0.00,16.87
ORD000161,SKU000139,4,99.94,3.00,396.76
ORD000161,SKU000117,2,1116.73,33.50,2199.96
ORD000162,SKU000166,3,718.17,0.00,2154.51
ORD000162,SKU000117,4,1116.73,0.00,4466.92
ORD000163,SKU000091,3,158.71,7.94,468.19
ORD000163,SKU000063,2,549.51,16.49,1082.53
ORD000163,SKU000144,2,1434.21,114.74,2753.68
ORD000163,SKU000203,4,401.86,0.00,1607.44
ORD000163,SKU000181,4,757.86,22.74,3008.70
ORD000164,SKU000168,4,548.18,0.00,2192.72
ORD000164,SKU000184,2,1750.03,140.00,3360.06
ORD000164,SKU000095,4,1103.40,33.10,4380.50
ORD000165,SKU000238,1,1002.56,50.13,952.43
ORD000165,SKU000231,3,340.59,17.03,1004.74
ORD000165,SKU000030,4,1263.29,101.06,4952.10
ORD000166,SKU000014,2,1252.99,0.00,2505.98
ORD000166,SKU000183,4,43.81,1.31,173.93
ORD000166,SKU000086,1,16.87,0.00,16.87
ORD000166,SKU000057,1,1657.46,0.00,1657.46
ORD000167,SKU000175,4,1497.47,0.00,5989.88
ORD000168,SKU000240,2,706.34,35.32,1377.36
ORD000168,SKU000236,4,1433.52,71.68,5662.40
ORD000168,SKU000093,3,1142.61,0.00,3427.83
ORD000169,SKU000060,2,351.08,0.00,702.16
ORD000169,SKU000221,1,789.98,0.00,789.98
ORD000169,SKU000157,1,614.14,30.71,583.43
ORD000169,SKU000185,1,789.70,39.48,750.22
ORD000169,SKU000041,2,803.27,64.26,1542.28
ORD000170,SKU000033,3,533.46,0.00,1600.38
ORD000170,SKU000223,2,648.85,0.00,1297.70
ORD000171,SKU000007,1,614.56,18.44,596.12
ORD000171,SKU000106,1,1156.47,34.69,1121.78
ORD000171,SKU000232,4,864.16,69.13,3387.51
ORD000171,SKU000099,4,1131.42,56.57,4469.11
ORD000171,SKU000200,3,349.91,0.00,1049.73
ORD000172,SKU000224,1,1434.98,43.05,1391.93
ORD000172,SKU000131,1,1147.19,0.00,1147.19
ORD000172,SKU000125,4,1425.63,42.77,5659.75
ORD000172,SKU000200,4,349.91,27.99,1371.65
ORD000172,SKU000147,3,430.30,0.00,1290.90
ORD000173,SKU000233,3,151.16,12.09,441.39
ORD000174,SKU000141,3,760.13,22.80,2257.59
ORD000174,SKU000160,3,945.61,28.37,2808.46
ORD000174,SKU000152,3,866.00,25.98,2572.02
ORD000175,SKU000033,3,533.46,0.00,1600.38
ORD000175,SKU000124,1,300.12,24.01,276.11
ORD000175,SKU000079,4,62.21,4.98,243.86
ORD000176,SKU000074,3,410.55,0.00,1231.65
