order_number,carrier,tracking_number,status,shipped_at,delivered_at,cost
ORD000126,DHL,TRK-ORD000126,in_transit,2025-02-08T23:48:53+00:00,,10.49
ORD000127,LocalCourier,TRK-ORD000127,in_transit,2026-07-14T03:50:02+00:00,,3.17
ORD000128,DHL,TRK-ORD000128,ready,,,17.94
ORD000140,BlueDart,TRK-ORD000140,ready,,,7.80
ORD000143,UPS,TRK-ORD000143,in_transit,2025-06-28T20:52:44+00:00,,11.20
ORD000149,FedEx,TRK-ORD000149,delivered,2025-02-21T00:27:19+00:00,2025-02-27T03:27:19+00:00,19.77
ORD000166,LocalCourier,TRK-ORD000166,in_transit,2025-07-24T07:35:48+00:00,,16.59
ORD000167,FedEx,TRK-ORD000167,in_transit,2025-03-30T16:53:51+00:00,,12.48
ORD000169,UPS,TRK-ORD000169,delivered,2026-06-25T13:32:31+00:00,2026-06-28T03:32:31+00:00,18.99
ORD000170,UPS,TRK-ORD000170,ready,,,13.82
ORD000172,UPS,TRK-ORD000172,delivered,2025-03-07T22:56:07+00:00,2025-03-12T13:56:07+00:00,15.46
ORD000175,DHL,TRK-ORD000175,in_transit,2025-06-15T05:27:02+00:00,,18.06
ORD000176,LocalCourier,TRK-ORD000176,in_transit,2025-05-17T20:15:41+00:00,,4.57
ORD000181,FedEx,TRK-ORD000181,in_transit,2025-05-05T03:45:47+00:00,,9.71
ORD000186,UPS,TRK-ORD000186,ready,,,14.94
ORD000202,UPS,TRK-ORD000202,in_transit,2025-04-24T02:49:17+00:00,,6.80
ORD000206,DHL,TRK-ORD000206,in_transit,2026-07-05T11:58:03+00:00,,5.73
ORD000210,BlueDart,TRK-ORD000210,returned,2025-04-20T11:41:42+00:00,2025-04-24T11:41:42+00:00,3.80
ORD000212,DHL,TRK-ORD000212,in_transit,2025-12-09T06:23:34+00:00,,7.30
ORD000216,LocalCourier,TRK-ORD000216,in_transit,2026-04-07T07:50:22+00:00,,8.10
ORD000218,LocalCourier,TRK-ORD000218,in_transit,2025-02-01T03:55:14+00:00,,6.88
ORD000222,BlueDart,TRK-ORD000222,delivered,2026-03-26T15:42:16+00:00,2026-04-02T07:42:16+00:00,3.60
ORD000226,FedEx,TRK-ORD000226,in_transit,2025-10-19T05:16:53+00:00,,2.51
ORD000238,UPS,TRK-ORD000238,delivered,2025-03-22T06:01:31+00:00,2025-03-23T12:01:31+00:00,18.14
ORD000239,BlueDart,TRK-ORD000239,ready,,,6.12
ORD000241,FedEx,TRK-ORD000241,ready,,,13.16
ORD000244,DHL,TRK-ORD000244,delivered,2026-01-24T10:51:52+00:00,2026-01-25T15:51:52+00:00,14.42
ORD000247,UPS,TRK-ORD000247,ready,,,18.97
ORD000248,BlueDart,TRK-ORD000248,delivered,2025-12-19T23:26:15+00:00,2025-12-22T13:26:15+00:00,11.48
ORD000250,UPS,TRK-ORD000250,in_transit,2025-06-24T00:25:11+00:00,,11.67
ORD000256,DHL,TRK-ORD000256,in_transit,2026-07-12T17:53:37+00:00,,9.02
ORD000263,BlueDart,TRK-ORD000263,in_transit,2025-11-10T05:14:43+00:00,,5.93
ORD000269,FedEx,TRK-ORD000269,in_transit,2025-05-19T14:55:53+00:00,,19.03
ORD000277,FedEx,TRK-ORD000277,ready,,,3.26
ORD000292,BlueDart,TRK-ORD000292,delivered,2026-02-08T10:09:40+00:00,2026-02-13T22:09:40+00:00,12.03
ORD000295,BlueDart,TRK-ORD000295,delivered,2026-01-17T07:19:44+00:00,2026-01-19T09:19:44+00:00,14.37
ORD000303,BlueDart,TRK-ORD000303,delivered,2025-07-05T17:52:18+00:00,2025-07-12T01:52:18+00:00,15.15
ORD000304,BlueDart,TRK-ORD000304,ready,,,11.48
ORD000309,UPS,TRK-ORD000309,delivered,2026-04-21T22:56:01+00:00,2026-04-27T01:56:01+00:00,8.32
ORD000310,DHL,TRK-ORD000310,in_transit,2025-04-15T23:32:15+00:00,,3.19
ORD000313,UPS,TRK-ORD000313,in_transit,2025-06-08T12:18:55+00:00,,4.69
ORD000318,DHL,TRK-ORD000318,cancelled,2025-08-04T19:07:38+00:00,,7.27
ORD000320,BlueDart,TRK-ORD000320,in_transit,2026-03-12T17:04:57+00:00,,8.34
ORD000333,UPS,TRK-ORD000333,in_transit,2025-10-17T08:10:00+00:00,,14.67
ORD000338,UPS,TRK-ORD000338,delivered,2026-01-13T22:46:58+00:00,2026-01-15T16:46:58+00:00,19.07
ORD000342,UPS,TRK-ORD000342,delivered,2025-05-10T13:10:30+00:00,2025-05-12T11:10:30+00:00,7.17
ORD000345,DHL,TRK-ORD000345,ready,,,9.29
ORD000347,UPS,TRK-ORD000347,delivered,2025-02-24T01:48:34+00:00,2025-02-28T00:48:34+00:00,5.69
ORD000349,UPS,TRK-ORD000349,delivered,2025-06-02T09:38:38+00:00,2025-06-08T12:38:38+00:00,10.92
ORD000353,LocalCourier,TRK-ORD000353,delivered,2025-04-24T08:08:47+00:00,2025-04-28T10:08:47+00:00,8.68
ORD000354,UPS,TRK-ORD000354,delivered,2025-05-12T19:30:13+00:00,2025-05-14T08:30:13+00:00,15.65
ORD000358,BlueDart,TRK-ORD000358,in_transit,2025-09-27T04:38:30+00:00,,21.55
ORD000360,LocalCourier,TRK-ORD000360,in_transit,2025-09-02T21:05:21+00:00,,5.21
ORD000364,DHL,TRK-ORD000364,ready,,,21.34
ORD000366,UPS,TRK-ORD000366,in_transit,2026-04-12T21:26:52+00:00,,13.45
ORD000368,LocalCourier,TRK-ORD000368,in_transit,2025-06-26T18:59:55+00:00,,15.41
ORD000372,DHL,TRK-ORD000372,delivered,2026-08-07T07:34:17+00:00,2026-08-10T12:34:17+00:00,4.92
ORD000383,BlueDart,TRK-ORD000383,in_transit,2025-09-20T09:39:02+00:00,,10.07
ORD000385,DHL,TRK-ORD000385,in_transit,2025-06-20T01:34:33+00:00,,21.93
ORD000386,FedEx,TRK-ORD000386,ready,,,3.97
ORD000387,FedEx,TRK-ORD000387,in_transit,2025-12-21T09:30:31+00:00,,12.66
ORD000397,DHL,TRK-ORD000397,ready,,,20.89
ORD000400,BlueDart,TRK-ORD000400,delivered,2026-06-14T12:51:38+00:00,2026-06-19T15:51:38+00:00,9.47
ORD000402,UPS,TRK-ORD000402,in_transit,2025-10-22T17:37:23+00:00,,18.06
ORD000403,FedEx,TRK-ORD000403,in_transit,2025-09-11T03:27:24+00:00,,14.14
ORD000405,LocalCourier,TRK-ORD000405,in_transit,2025-10-06T11:42:28+00:00,,20.49
ORD000409,FedEx,TRK-ORD000409,delivered,2026-07-02T15:40:36+00:00,2026-07-03T18:40:36+00:00,20.51
ORD000413,BlueDart,TRK-ORD000413,delivered,2025-12-01T00:06:56+00:00,2025-12-05T22:06:56+00:00,10.12
ORD000414,BlueDart,TRK-ORD000414,delivered,2026-07-18T15:05:49+00:00,2026-07-24T09:05:49+00:00,16.29
ORD000416,DHL,TRK-ORD000416,delivered,2025-12-12T01:58:57+00:00,2025-12-14T18:58:57+00:00,11.16
ORD000417,LocalCourier,TRK-ORD000417,delivered,2025-07-04T01:18:40+00:00,2025-07-06T21:18:40+00:00,10.67
ORD000423,LocalCourier,TRK-ORD000423,in_transit,2026-08-23T07:59:28+00:00,,19.59
ORD000427,UPS,TRK-ORD000427,delivered,2026-05-29T01:56:10+00:00,2026-06-04T23:56:10+00:00,10.89
ORD000438,FedEx,TRK-ORD000438,in_transit,2025-11-16T14:50:05+00:00,,5.39
ORD000439,UPS,TRK-ORD000439,in_transit,2026-06-23T19:30:48+00:00,,2.79
ORD000444,DHL,TRK-ORD000444,in_transit,2025-08-01T10:59:56+00:00,,21.26
ORD000450,UPS,TRK-ORD000450,in_transit,2025-09-21T09:29:44+00:00,,17.44
ORD000454,UPS,TRK-ORD000454,in_transit,2025-09-22T10:58:53+00:00,,3.63
ORD000458,UPS,TRK-ORD000458,delivered,2025-09-28T11:25:27+00:00,2025-10-04T16:25:27+00:00,2.63
ORD000461,FedEx,TRK-ORD000461,in_transit,2026-05-23T17:59:40+00:00,,4.98
ORD000481,UPS,TRK-ORD000481,in_transit,2026-08-22T02:33:28+00:00,,7.03
ORD000483,BlueDart,TRK-ORD000483,in_transit,2025-10-02T09:07:08+00:00,,20.77
ORD000486,FedEx,TRK-ORD000486,in_transit,2026-05-15T15:15:47+00:00,,9.68
ORD000487,DHL,TRK-ORD000487,delivered,2025-03-08T15:46:51+00:00,2025-03-12T11:46:51+00:00,2.85
ORD000491,UPS,TRK-ORD000491,delivered,2026-01-15T14:20:38+00:00,2026-01-17T09:20:38+00:00,7.02
ORD000494,DHL,TRK-ORD000494,in_transit,2026-04-06T04:16:25+00:00,,11.59
ORD000504,FedEx,TRK-ORD000504,in_transit,2026-06-08T13:30:45+00:00,,14.30
ORD000505,FedEx,TRK-ORD000505,delivered,2025-03-23T00:29:11+00:00,2025-03-28T21:29:11+00:00,11.91
ORD000506,UPS,TRK-ORD000506,in_transit,2026-04-07T05:27:53+00:00,,20.44
ORD000514,UPS,TRK-ORD000514,in_transit,2026-01-31T10:27:25+00:00,,12.67
ORD000520,UPS,TRK-ORD000520,delivered,2026-06-12T10:45:32+00:00,2026-06-15T08:45:32+00:00,12.40
ORD000522,UPS,TRK-ORD000522,in_transit,2025-04-10T14:05:55+00:00,,20.95
ORD000528,FedEx,TRK-ORD000528,in_transit,2025-09-05T18:05:17+00:00,,3.60
ORD000529,BlueDart,TRK-ORD000529,returned,2025-07-14T14:28:45+00:00,2025-07-28T14:28:45+00:00,9.75
ORD000536,DHL,TRK-ORD000536,delivered,2025-08-16T12:36:08+00:00,2025-08-18T04:36:08+00:00,8.93
ORD000537,FedEx,TRK-ORD000537,delivered,2026-05-13T07:34:13+00:00,2026-05-19T11:34:13+00:00,15.87
ORD000543,DHL,TRK-ORD000543,in_transit,2026-05-11T21:40:56+00:00,,11.00
ORD000550,FedEx,TRK-ORD000550,in_transit,2025-01-01T19:36:39+00:00,,4.66
ORD000555,DHL,TRK-ORD000555,in_transit,2026-05-30T08:39:44+00:00,,8.22
ORD000556,FedEx,TRK-ORD000556,in_transit,2025-01-03T02:30:45+00:00,,7.09
ORD000557,FedEx,TRK-ORD000557,ready,,,16.64
ORD000558,BlueDart,TRK-ORD000558,returned,2026-05-30T15:33:21+00:00,2026-06-05T15:33:21+00:00,10.50
ORD000563,BlueDart,TRK-ORD000563,in_transit,2026-07-30T10:43:08+00:00,,6.28
ORD000565,FedEx,TRK-ORD000565,in_transit,2025-09-16T00:07:09+00:00,,17.61
ORD000571,LocalCourier,TRK-ORD000571,delivered,2025-05-15T05:59:19+00:00,2025-05-19T07:59:19+00:00,11.85
ORD000573,FedEx,TRK-ORD000573,in_transit,2025-07-21T11:00:55+00:00,,9.78
ORD000574,BlueDart,TRK-ORD000574,delivered,2026-05-25T04:45:00+00:00,2026-05-29T09:45:00+00:00,13.22
ORD000590,BlueDart,TRK-ORD000590,delivered,2025-10-20T20:16:30+00:00,2025-10-27T14:16:30+00:00,8.36
ORD000594,LocalCourier,TRK-ORD000594,in_transit,2025-04-23T04:47:18+00:00,,7.59
ORD000597,UPS,TRK-ORD000597,ready,,,9.87
ORD000598,FedEx,TRK-ORD000598,in_transit,2025-10-17T13:16:06+00:00,,13.30
