name,sku,category_slug,supplier_code,unit_cost,unit_price,is_active
Product 057,SKU000057,beauty/personal-care,SUP008,1042.43,1657.46,true
Product 058,SKU000058,beauty/personal-care,SUP010,183.03,223.30,true
Product 059,SKU000059,home/kitchen,SUP010,1184.22,1823.70,true
Product 060,SKU000060,beauty/wellness,SUP004,292.57,351.08,true
Product 061,SKU000061,groceries,SUP006,258.93,341.79,true
Product 062,SKU000062,electronics/audio,SUP002,669.73,857.25,true
Product 063,SKU000063,beauty/wellness,SUP008,392.51,549.51,true
Product 064,SKU000064,groceries/produce,SUP008,159.39,229.52,true
Product 065,SKU000065,clothing/kids,SUP002,343.96,454.03,true
Product 066,SKU000066,beauty/personal-care,SUP008,240.28,302.75,true
Product 067,SKU000067,groceries,SUP005,32.37,41.76,true
Product 068,SKU000068,home/furniture,SUP005,359.66,449.58,true
Product 069,SKU000069,clothing/women,SUP002,619.27,786.47,true
Product 070,SKU000070,electronics/laptops,SUP009,428.65,518.67,true
Product 071,SKU000071,groceries/beverages,SUP008,583.96,776.67,false
Product 072,SKU000072,groceries/beverages,SUP009,787.50,984.38,true
Product 073,SKU000073,beauty/personal-care,SUP002,284.46,452.29,true
Product 074,SKU000074,electronics,SUP005,297.50,410.55,true
Product 075,SKU000075,electronics/laptops,SUP007,373.50,575.19,true
Product 076,SKU000076,groceries/beverages,SUP009,486.45,788.05,true
Product 077,SKU000077,electronics/mobiles,SUP003,972.09,1147.07,true
Product 078,SKU000078,home,SUP003,1109.99,1553.99,true
Product 079,SKU000079,groceries/produce,SUP007,45.41,62.21,true
Product 080,SKU000080,beauty/wellness,SUP004,109.02,168.98,false
Product 081,SKU000081,electronics/laptops,SUP005,793.41,1094.91,true
Product 082,SKU000082,beauty,SUP003,352.26,464.98,true
Product 083,SKU000083,beauty/wellness,SUP004,103.96,129.95,true
Product 084,SKU000084,groceries/beverages,SUP005,73.66,111.96,true
Product 085,SKU000085,clothing/kids,SUP004,1034.34,1323.96,false
Product 086,SKU000086,groceries/beverages,SUP010,11.88,16.87,true
Product 087,SKU000087,clothing,SUP003,908.47,1226.43,true
Product 088,SKU000088,groceries/beverages,SUP005,1150.30,1898.00,true
Product 089,SKU000089,beauty/personal-care,SUP005,636.84,872.47,false
Product 090,SKU000090,groceries/beverages,SUP006,394.94,604.26,true
Product 091,SKU000091,electronics/laptops,SUP008,97.97,158.71,true
Product 092,SKU000092,home/furniture,SUP002,395.88,593.82,true
Product 093,SKU000093,electronics,SUP004,921.46,1142.61,true
Product 094,SKU000094,home/furniture,SUP009,19.40,28.32,true
Product 095,SKU000095,home/furniture,SUP001,676.93,1103.40,true
Product 096,SKU000096,clothing/women,SUP008,836.14,1036.81,true
Product 097,SKU000097,clothing/men,SUP006,973.41,1547.72,true
Product 098,SKU000098,electronics/mobiles,SUP008,398.03,585.10,false
Product 099,SKU000099,electronics/mobiles,SUP009,791.20,1131.42,true
Product 100,SKU000100,clothing,SUP007,565.35,763.22,true
Product 101,SKU000101,groceries/produce,SUP004,867.81,1301.72,true
Product 102,SKU000102,groceries,SUP004,249.05,331.24,true
Product 103,SKU000103,electronics/audio,SUP008,325.51,390.61,true
Product 104,SKU000104,clothing,SUP003,692.13,934.38,true
Product 105,SKU000105,electronics/laptops,SUP007,698.61,978.05,true
Product 106,SKU000106,home,SUP003,838.02,1156.47,true
Product 107,SKU000107,electronics/laptops,SUP009,1046.94,1434.31,true
Product 108,SKU000108,clothing/women,SUP009,454.20,690.38,true
Product 109,SKU000109,electronics,SUP008,979.04,1497.93,true
Product 110,SKU000110,electronics/laptops,SUP008,706.63,819.69,true
Product 111,SKU000111,home/kitchen,SUP001,249.50,381.74,true
Product 112,SKU000112,beauty/personal-care,SUP007,628.34,898.53,true
Product 113,SKU000113,beauty/wellness,SUP004,1027.55,1510.50,true
Product 114,SKU000114,electronics/audio,SUP008,935.90,1328.98,true
Product 115,SKU000115,clothing/women,SUP005,261.24,363.12,true
Product 116,SKU000116,home/furniture,SUP007,93.23,132.39,true
Product 117,SKU000117,clothing/kids,SUP008,689.34,1116.73,true
Product 118,SKU000118,electronics/audio,SUP006,582.63,844.81,true
Product 119,SKU000119,clothing/women,SUP004,944.36,1539.31,true
Product 120,SKU000120,clothing/kids,SUP007,802.87,1019.64,false
Product 121,SKU000121,groceries/produce,SUP005,812.12,1218.18,true
Product 122,SKU000122,electronics/audio,SUP009,486.27,588.39,true
Product 123,SKU000123,clothing/men,SUP001,658.39,757.15,true
Product 124,SKU000124,groceries/produce,SUP010,234.47,300.12,true
Product 125,SKU000125,home/furniture,SUP009,990.02,1425.63,true
Product 126,SKU000126,groceries/produce,SUP005,415.82,673.63,true
Product 127,SKU000127,clothing/kids,SUP007,988.44,1186.13,true
Product 128,SKU000128,beauty/personal-care,SUP003,770.44,1194.18,true
Product 129,SKU000129,home/furniture,SUP006,233.56,312.97,true
Product 130,SKU000130,clothing,SUP007,87.06,104.47,true
Product 131,SKU000131,clothing/men,SUP007,802.23,1147.19,true
Product 132,SKU000132,clothing/women,SUP007,919.84,1306.17,true
Product 133,SKU000133,home/furniture,SUP010,990.09,1376.23,true
Product 134,SKU000134,beauty/personal-care,SUP004,149.54,197.39,true
Product 135,SKU000135,electronics/audio,SUP010,1053.86,1391.10,true
Product 136,SKU000136,electronics,SUP010,436.95,716.60,true
Product 137,SKU000137,beauty,SUP005,773.20,951.04,true
Product 138,SKU000138,electronics,SUP001,524.57,639.98,true
Product 139,SKU000139,groceries/produce,SUP009,66.63,99.94,true
Product 140,SKU000140,home,SUP006,78.38,100.33,true
Product 141,SKU000141,beauty/personal-care,SUP005,613.01,760.13,true
Product 142,SKU000142,electronics/audio,SUP010,872.05,1264.47,true
Product 143,SKU000143,clothing/kids,SUP009,871.40,1115.39,true
Product 144,SKU000144,electronics/mobiles,SUP005,969.06,1434.21,true
Product 145,SKU000145,beauty,SUP007,181.92,236.50,true
Product 146,SKU000146,electronics/mobiles,SUP005,1182.62,1880.37,true
Product 147,SKU000147,electronics/audio,SUP007,349.84,430.30,true
Product 148,SKU000148,clothing/men,SUP005,1165.23,1421.58,true
Product 149,SKU000149,electronics,SUP008,1135.64,1828.38,true
Product 150,SKU000150,groceries/beverages,SUP005,1178.86,1450.00,true
Product 151,SKU000151,groceries,SUP006,266.17,332.71,true
Product 152,SKU000152,groceries/beverages,SUP001,531.29,866.00,true
Product 153,SKU000153,beauty,SUP007,94.34,119.81,true
Product 154,SKU000154,electronics/laptops,SUP008,324.10,453.74,true
Product 155,SKU000155,clothing/women,SUP010,698.49,1026.78,true
Product 156,SKU000156,electronics/audio,SUP007,368.09,426.98,true
Product 157,SKU000157,electronics/audio,SUP001,487.41,614.14,true
Product 158,SKU000158,beauty/wellness,SUP008,755.25,883.64,false
Product 159,SKU000159,electronics/mobiles,SUP003,1010.80,1627.39,true
Product 160,SKU000160,home,SUP008,634.64,945.61,true
Product 161,SKU000161,electronics/laptops,SUP001,156.01,229.33,true
Product 162,SKU000162,clothing,SUP004,278.04,428.18,true
Product 163,SKU000163,clothing/women,SUP001,886.47,1462.68,true
Product 164,SKU000164,beauty/personal-care,SUP008,171.16,222.51,true
Product 165,SKU000165,home/furniture,SUP003,1097.90,1602.93,true
Product 166,SKU000166,clothing/men,SUP001,552.44,718.17,true
Product 167,SKU000167,electronics/laptops,SUP007,240.67,361.00,true
Product 168,SKU000168,groceries/produce,SUP004,391.56,548.18,true
Product 169,SKU000169,electronics,SUP001,191.20,229.44,true
Product 170,SKU000170,electronics/mobiles,SUP007,790.54,964.46,true
Product 171,SKU000171,electronics,SUP006,691.72,1072.17,true
Product 172,SKU000172,clothing/kids,SUP003,1125.16,1530.22,true
Product 173,SKU000173,electronics,SUP008,102.11,133.76,true
Product 174,SKU000174,beauty,SUP007,136.16,193.35,true
Product 175,SKU000175,clothing,SUP005,1179.11,1497.47,true
Product 176,SKU000176,electronics/audio,SUP002,560.91,897.46,true
Product 177,SKU000177,clothing/men,SUP001,429.21,708.20,true
Product 178,SKU000178,beauty/wellness,SUP009,505.82,622.16,true
Product 179,SKU000179,home/kitchen,SUP004,422.74,519.97,true
Product 180,SKU000180,electronics/audio,SUP001,101.21,152.83,true
Product 181,SKU000181,clothing/men,SUP005,621.20,757.86,true
Product 182,SKU000182,clothing/kids,SUP002,474.40,687.88,true
Product 183,SKU000183,clothing,SUP002,33.70,43.81,true
Product 184,SKU000184,groceries/beverages,SUP008,1158.96,1750.03,true
Product 185,SKU000185,home/kitchen,SUP002,669.24,789.70,true
Product 186,SKU000186,groceries/beverages,SUP006,298.15,465.11,true
Product 187,SKU000187,electronics/laptops,SUP002,846.65,1236.11,true
Product 188,SKU000188,groceries/beverages,SUP005,76.13,121.81,true
Product 189,SKU000189,home/furniture,SUP008,380.13,539.78,true
Product 190,SKU000190,electronics/audio,SUP002,383.86,464.47,true
Product 191,SKU000191,electronics/audio,SUP007,1132.33,1506.00,true
Product 192,SKU000192,groceries,SUP002,681.62,804.31,true
Product 193,SKU000193,clothing/women,SUP005,64.79,96.54,true
Product 194,SKU000194,groceries/produce,SUP004,636.79,757.78,true
Product 195,SKU000195,electronics/audio,SUP010,11.62,13.48,false
Product 196,SKU000196,groceries,SUP008,1122.33,1705.94,true
Product 197,SKU000197,clothing,SUP001,604.03,990.61,true
Product 198,SKU000198,electronics/laptops,SUP009,51.44,81.28,true
Product 199,SKU000199,groceries/beverages,SUP001,137.72,166.64,true
Product 200,SKU000200,home/kitchen,SUP006,299.07,349.91,true
Product 201,SKU000201,groceries/produce,SUP007,1084.35,1344.59,false
Product 202,SKU000202,clothing/women,SUP005,71.96,103.62,true
Product 203,SKU000203,electronics/audio,SUP006,264.38,401.86,true
Product 204,SKU000204,beauty,SUP001,691.29,891.76,true
Product 205,SKU000205,home/kitchen,SUP003,130.07,158.69,true
Product 206,SKU000206,electronics,SUP009,910.41,1174.43,false
Product 207,SKU000207,electronics,SUP001,237.44,377.53,true
Product 208,SKU000208,electronics/audio,SUP001,202.57,249.16,true
Product 209,SKU000209,electronics/audio,SUP008,350.16,469.21,true
Product 210,SKU000210,groceries/produce,SUP010,120.35,166.08,true
Product 211,SKU000211,clothing/kids,SUP002,391.11,496.71,true
Product 212,SKU000212,electronics,SUP001,322.54,425.75,true
Product 213,SKU000213,electronics/mobiles,SUP009,242.66,344.58,true
Product 214,SKU000214,clothing/women,SUP007,79.48,111.27,true
Product 215,SKU000215,electronics/audio,SUP004,366.34,560.50,true
Product 216,SKU000216,home/kitchen,SUP006,858.85,1356.98,true
Product 217,SKU000217,home,SUP002,945.72,1248.35,true
Product 218,SKU000218,clothing/kids,SUP003,232.92,272.52,true
Product 219,SKU000219,beauty,SUP003,659.62,890.49,true
Product 220,SKU000220,electronics/mobiles,SUP010,124.04,202.19,true
Product 221,SKU000221,electronics/mobiles,SUP004,598.47,789.98,true
Product 222,SKU000222,groceries/beverages,SUP003,920.43,1076.90,true
Product 223,SKU000223,beauty,SUP004,559.35,648.85,true
Product 224,SKU000224,groceries/produce,SUP004,1055.13,1434.98,true
Product 225,SKU000225,groceries,SUP002,77.24,124.36,true
Product 226,SKU000226,electronics/mobiles,SUP008,691.12,863.90,true
Product 227,SKU000227,electronics,SUP009,701.55,1087.40,true
Product 228,SKU000228,electronics/mobiles,SUP004,780.30,1037.80,true
Product 229,SKU000229,groceries/produce,SUP007,313.85,442.53,true
Product 230,SKU000230,groceries/beverages,SUP008,266.14,340.66,false
Product 231,SKU000231,electronics/audio,SUP007,236.52,340.59,true
Product 232,SKU000232,groceries/beverages,SUP001,696.90,864.16,true
Product 233,SKU000233,electronics/laptops,SUP008,116.28,151.16,true
Product 234,SKU000234,home/furniture,SUP010,808.45,1026.73,true
Product 235,SKU000235,groceries/produce,SUP009,281.24,407.80,true
Product 236,SKU000236,beauty/wellness,SUP006,1119.94,1433.52,true
Product 237,SKU000237,clothing,SUP008,693.46,970.84,false
Product 238,SKU000238,clothing/women,SUP005,856.89,1002.56,true
Product 239,SKU000239,clothing/men,SUP004,1011.19,1628.02,true
Product 240,SKU000240,home/kitchen,SUP002,487.13,706.34,true
